ObjektNr;Objektname;Baustelle;BaustPLZ;BaustOrt;BaustKanton;BaustBezirk;ReferenzNr;Kurzbeschreibung;Baustadium;BaustadiumDatum;BaustadiumAlt;BaustadiumDatumAlt;Baukosten;Baubeginn;Bauende;AnzWhg;Hauptkategorie;KatCode01;KatText01;KatCode02;KatText02;KatCode03;KatText03;KatCode04;KatText04;KatCode05;KatText05;KatCode06;KatText06;KatCode07;KatText07;KatCode08;KatText08;KatCode09;KatText09;KatCode10;KatText10
682483;Neubau Primarschule Riethüsli;Gerhardtstrasse 16;9012;St. Gallen;SG;St. Gallen;;Neubau Schulanlage, Doppelturnhalle, Tagesbetreuung, zwei Kindergärten;Baubewilligung erteilt;03.06.2022;Baugesuch eingereicht;22.11.2021;48.00 Mio CHF;August 2022 (Abbruch);Aug 25;;Unterricht, Bildung und Forschung;210;Kinderhorte und Kindergärten;220;Primar- und Sekundarschulen;1210;Sportanlagen, Turn- und Mehrzweckanlagen;1220;Tribünenbauten und Garderobengebäude;1270;Aussenanlagen, Kinderspielplätze und Parkanlagen;1311;Parkplätze;;;;;;;;
723073;Teilabbruch und Erweiterung der Kantonsschule Sargans (6C.II.039508);Pizolstrasse 14;7320;Sargans;SG;Sarganserland;Parz. 1587;Neuaufbau Kantonsschule;Baubewilligung erteilt;30.11.2021;Baugesuch eingereicht;02.10.2015;49.00 Mio CHF;Sommer 2023;Jun 25;;Unterricht, Bildung und Forschung;240;Mittelschulen und Gymnasien;;;;;;;;;;;;;;;;;;
2536052;Neubau Produktions- und Bürogebäude;Bleichi;9043;Trogen;AR;Mittelland;Parz. 1047/866;Neubau eines Produktions- und Bürogebäudes (Unternehmer bestimmt);Baubewilligung erteilt;22.12.2016;Baugesuch eingereicht;13.02.2015;3.00 Mio CHF;Frühling / Sommer 2017;;;Industrie und Gewerbe;370;Industrielle Produktionsbauten;640;Bürobauten mit erhöhten Anforderungen;;;;;;;;;;;;;;;;
2577353;Erweiterung/Erneuerung Regionalgefängnis mit Parkplätzen (6C.II.072A17);Luchstrasse;9450;Altstätten SG;SG;Rheintal;Gst. 3396, 3410, 3408, 4075;Erweiterung/Erneuerung Regionalgefängnis mit Parkplätzen;Baubewilligung erteilt;05.02.2020;Baugesuch eingereicht;17.06.2019;83.00 Mio CHF;Sep 23;Jahr 2028;;Justiz und Polizei;640;Bürobauten mit erhöhten Anforderungen;720;Polizeieinsatzgebäude und Untersuchungsgefängnisse;720;Polizeieinsatzgebäude und Untersuchungsgefängnisse;730;Strafvollzugsanstalten;730;Strafvollzugsanstalten;1270;Aussenanlagen, Kinderspielplätze und Parkanlagen;1311;Parkplätze;1314;Carports und Abstellplätze;1420;Zeughäuser;1420;Zeughäuser
2809106;Neubau Pflegezentrum Schachen mit Tiefgarage und Parkplätzen;Druckerstrasse;8645;Jona;SG;See-Gaster;Gst. 3704J/164;Neubau Alterszentrum mit Tiefgarage und Parkplätzen;Baubewilligung erteilt;05.07.2023;Baugesuch eingereicht;21.11.2019;46.70 Mio CHF;Nov 23;Okt 26;;Fürsorge und Gesundheit;160;Alterswohnheime;840;Pflegeheime, Sanatorien und Rehabilitationszentren;1150;Raststätten, Cafeterias, Tea-Rooms und Bars;1270;Aussenanlagen, Kinderspielplätze und Parkanlagen;1312;Tiefgaragen und Unterniveaugaragen;;;;;;;;;;
2828964;Neubau Gewerbezentrum/Parkunique mit Tiefgarage;Staatsstrasse;9463;Oberriet SG;SG;Rheintal;Gst. 2920, 2921;Neubau Gewerbezentrum/Parkunique mit Tiefgarage;Baubewilligung erteilt;15.11.2024;Projekt;06.01.2017;25.00 Mio CHF;;;;Industrie und Gewerbe;380;Betriebs- und Gewerbebauten;640;Bürobauten mit erhöhten Anforderungen;1312;Tiefgaragen und Unterniveaugaragen;;;;;;;;;;;;;;
2833485;Neubau Raststätte Ost mit Tankstellenshop und Parkplätzen;Fösara/Buchserau;9475;Sevelen;SG;Werdenberg;Parz. 1946/ Parz. 1117;Neubau Raststätte Ost mit Tankstellenshop und Parkplätzen (Projektänderung);Baubewilligung erteilt;27.06.2024;Baugesuch eingereicht;07.02.2017;2.00 Mio CHF;;;;Gastgewerbe und Fremdenverkehr;610;Ladenbauten;1110;Restaurationsbetriebe;1311;Parkplätze;;;;;;;;;;;;;;
2856263;Neubau Aerztehaus mit Tiefgarage;Bahnhofplatz;9056;Gais;AR;Mittelland;Parz. 45, 91;Neubau Aerztehaus mit Tiefgarage;Baubewilligung erteilt;30.04.2024;Baugesuch eingereicht;07.06.2022;14.60 Mio CHF;;;;Fürsorge und Gesundheit;610;Ladenbauten;640;Bürobauten mit erhöhten Anforderungen;810;Arztpraxen und Ärztehäuser;1312;Tiefgaragen und Unterniveaugaragen;;;;;;;;;;;;
2873455;Abbruch Einfamilienhaus;Grofstrasse 7;9470;Buchs SG;SG;Werdenberg;Gst. 313;Abbruch Einfamilienhaus (neue Eingabe);Baubewilligung erteilt;28.08.2024;Baugesuch eingereicht;07.10.2019;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
2886531;Neubau Zentralgebäude Johanneum;Johanneumstrasse 4;9652;Neu St. Johann;SG;Toggenburg;Gst. 129;Neubau Zentralgebäude Johanneum;Baubewilligung erteilt;19.10.2023;Baugesuch eingereicht;05.01.2023;7.00-10.00 Mio CHF;Baustart erfolgt;Frühling 2025;;Fürsorge und Gesundheit;250;Heilpädagogische Schulen/Sonderschulen;840;Pflegeheime, Sanatorien und Rehabilitationszentren;1150;Raststätten, Cafeterias, Tea-Rooms und Bars;;;;;;;;;;;;;;
2928544;Abbruch Einfamilienhaus;Fürstenlandstrasse 45;9500;Wil SG;SG;Wil;Parz. 1458;Abbruch Einfamilienhaus (Projektänderung);Baubewilligung erteilt;08.04.2024;Baugesuch eingereicht;01.10.2018;0.02 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
2949327;Abbruch alter Lager- und Fabrikgebäude und Garagen;Mariabergstrasse 21a/b/c;9400;Rorschach;SG;Rorschach;Gst. 1592;;Baubewilligung erteilt;17.10.2024;Baugesuch eingereicht;11.09.2020;0.10 Mio CHF;;;;Industrie und Gewerbe;111;Einfamilienhäuser;310;Lagerhallen;370;Industrielle Produktionsbauten;1313;Garagen / Fertiggaragen;;;;;;;;;;;;
2950686;Neubau Sporthalle Steinach;Schulstrasse 36a;9323;Steinach;SG;Rorschach;Parz. 524;Ersatzneubau Turnhalle (Hanglage);Baubewilligung erteilt;14.11.2023;Baugesuch eingereicht;19.05.2023;13.50 Mio CHF;Mär 24;Herbst 2025;;Freizeit, Sport, Erholung;1210;Sportanlagen, Turn- und Mehrzweckanlagen;1220;Tribünenbauten und Garderobengebäude;;;;;;;;;;;;;;;;
2953023;Abbruch Einfamilienhaus, Werkstatt und Stall;Bahnhofstrasse 53;9475;Sevelen;SG;Werdenberg;Parz. 376;Abbruch Einfamilienhaus, Werkstatt und Stall (Projektänderung);Baubewilligung erteilt;27.06.2024;Baugesuch eingereicht;18.03.2019;0.07 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;380;Betriebs- und Gewerbebauten;430;Stallungen und landwirtschaftliche Produktionsanlagen;;;;;;;;;;;;;;
2983824;Erweiterung der Steig Wohnen und Arbeiten mit Carport und integrierte Garage;Haslenstrasse 51;9050;Appenzell;AI;Appenzell I.Rh.;Parz. 1794;Erweiterung der Steig Wohnen und Arbeiten mit Carport und integrierte Garage (Hanglage, Projektänderung);Baubewilligung erteilt;27.02.2024;Baugesuch eingereicht;15.06.2022;6.00 Mio CHF;Apr 23;Dez 24;;Fürsorge und Gesundheit;860;Tagesheime und geschützte Werkstätten;1314;Carports und Abstellplätze;;;;;;;;;;;;;;;;
3013967;Neugestaltung Gemeinschaftsgrab;Buschelstrasse 3;9247;Henau;SG;Wil;Gst. 1877, 2784;Neugestaltung Gemeinschaftsgrab Friedhof Henau;Baubewilligung erteilt;12.09.2024;Baugesuch eingereicht;17.04.2020;0.32 Mio CHF;;;;Kultus;1530;Friedhofanlagen;;;;;;;;;;;;;;;;;;
3027290;Abbruch Einfamilienhaus;Weirden 5;9062;Lustmühle;AR;Mittelland;Gst. 1306;Abbruch Einfamilienhaus und Gartenhalle;Baubewilligung erteilt;30.09.2024;Baugesuch eingereicht;25.06.2020;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3051292;Neubau Produktionshalle;Breitschachenstrasse 53;9032;Engelburg;SG;St. Gallen;Parz. 821;Neubau Produktionshalle (Unternehmer bestimmt/keine Offeranfragen zustellen);Baubewilligung erteilt;20.03.2021;Baugesuch eingereicht;14.11.2020;3.00 Mio CHF;Jul 23;Okt 24;;Industrie und Gewerbe;370;Industrielle Produktionsbauten;;;;;;;;;;;;;;;;;;
3054335;Abbruch Einfamilienhaus und Remise;Gerlistrasse 33;9453;Eichberg;SG;Rheintal;Parz. 343;Abbruch Einfamilienhaus und Remise (L-Zone);Baubewilligung erteilt;22.08.2024;Baugesuch eingereicht;20.09.2023;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;410;Schuppen und Hütten;;;;;;;;;;;;;;;;
3070192;Neubau Werkhof Uzwil;Hummelweg 3;9244;Niederuzwil;SG;Wil;Parz. 2080;Neubau Werkhof Uzwil;Baubewilligung erteilt;19.06.2024;Baugesuch eingereicht;17.11.2023;6.62 Mio CHF;Frühling 2025;ca. Sommer/Herbst 2026;;Verkehrsanlagen;1330;Werkhöfe;;;;;;;;;;;;;;;;;;
3076579;Abbruch Zweifamilienhaus;Thalerstrasse 11;9422;Staad SG;SG;Rorschach;Parz. 151;Abbruch Zweifamilienhaus;Baubewilligung erteilt;10.01.2024;Baugesuch eingereicht;09.04.2021;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3080020;Neubau Besucher- und Therapiezentrum;Krombach 3;9100;Herisau;AR;Hinterland;Gst. 1830;Neubau Besucher- und Therapiezentrum für das psychiatrische Zentrum;Baubewilligung erteilt;22.11.2023;Baugesuch eingereicht;23.03.2023;10.76 Mio CHF;Jul 23;Dez 25;;Fürsorge und Gesundheit;640;Bürobauten mit erhöhten Anforderungen;820;Krankenhäuser;;;;;;;;;;;;;;;;
3092233;Abbruch Wohn- und Gewerbegebäude;Tellstrasse 4, 4a;9533;Kirchberg SG;SG;Toggenburg;Parz. 987;Abbruch Wohn- und Gewerbegebäude;Baubewilligung erteilt;03.04.2024;Baugesuch eingereicht;22.06.2021;0.05 Mio CHF;;;;Wohnen (ab 3 Wohneinheiten);120;Mehrfamilienhäuser;380;Betriebs- und Gewerbebauten;;;;;;;;;;;;;;;;
3093898;Abbruch Einfamilienhaus;Unter Bendlehn 48;9042;Speicher;AR;Mittelland;Gst. 1227;Abbruch Einfamilienhaus;Baubewilligung erteilt;09.04.2024;Baugesuch eingereicht;01.07.2021;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3102748;Neubau Produktionshalle;Sandackerstrasse 22;9245;Oberbüren;SG;Wil;Parz. 406;Neubau Produktionshalle;Baubewilligung erteilt;05.10.2022;Baugesuch eingereicht;16.08.2021;2.20 Mio CHF;Aug 23;;;Industrie und Gewerbe;370;Industrielle Produktionsbauten;;;;;;;;;;;;;;;;;;
3104734;Totalabbruch Ferienhaus;Vättnerberg;7315;Vättis;SG;Sarganserland;Parz. 8004;Totalabbruch Ferienhaus (Revisionseingabe);Baubewilligung erteilt;29.07.2024;Baugesuch eingereicht;27.08.2021;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);113;Ferienhäuser;;;;;;;;;;;;;;;;;;
3114166;Erneuerung Quelleitung Heidlen (2. Etappe);Heidlen;9650;Nesslau;SG;Toggenburg;Parz. 1346;Erneuerung Quelleitung Heidlen (2. Etappe);Baubewilligung erteilt;29.08.2024;Baugesuch eingereicht;26.10.2021;0.42 Mio CHF;;;;Infrastrukturbauten;3230;Gas- und Wasserverteilleitungen;;;;;;;;;;;;;;;;;;
3117857;Sanierung und Erweiterung Schulbauten Areal Buchen;Buchenstrasse 20;9042;Speicher;AR;Mittelland;Parz. 280;Sanierung und Erweiterung Schulbauten (1.Etappe);Baubewilligung erteilt;08.10.2024;Baugesuch eingereicht;16.05.2024;19.30 Mio CHF;;;;Unterricht, Bildung und Forschung;220;Primar- und Sekundarschulen;220;Primar- und Sekundarschulen;;;;;;;;;;;;;;;;
3120873;Teilabbruch Einfamilienhaus;Schwanden 558;8718;Schänis;SG;See-Gaster;Parz. 1127;Teilabbruch Einfamilienhaus (L-Zone);Baubewilligung erteilt;08.03.2024;Baugesuch eingereicht;22.11.2021;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3123614;Ersatzneubau Reservoir Ebenacker;Ebenacker 4.1;9450;Altstätten SG;SG;Rheintal;Gst. 1733;Ersatzneubau Reservoir Ebenacker;Baubewilligung erteilt;10.02.2023;Baugesuch eingereicht;24.12.2021;2.57 Mio CHF;ca. Mai 2023;ca. November 2024;;Technische Anlagen;520;Wasseraufbereitungsanlagen;;;;;;;;;;;;;;;;;;
3126450;Abbruch Alpstall;Alp Friessen;9650;Nesslau;SG;Toggenburg;Parz. 1343;Abbruch Alpstall;Baubewilligung erteilt;06.02.2024;Baugesuch eingereicht;17.01.2022;0.03 Mio CHF;;;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;;;;;;;;;;;;;;;;;;
3126451;Neubau Alpstall Friessen;Alp Friessen;9650;Nesslau;SG;Toggenburg;Parz. 1343;Neubau Alpstall Friessen;Baubewilligung erteilt;06.02.2024;Baugesuch eingereicht;17.01.2022;0.50 Mio CHF;;;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;;;;;;;;;;;;;;;;;;
3129216;Abbruch Bauernhaus;Hinteregg 2397;9100;Herisau;AR;Hinterland;Gst. 2568, 2569, 4394;Abbruch Bauernhaus;Baubewilligung erteilt;23.05.2024;Baugesuch eingereicht;28.01.2022;0.05 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);115;Bauernhäuser;;;;;;;;;;;;;;;;;;
3132729;Abbruch alte Käserei, Schweinestall, Remise;Betzikon 1;8735;St. Gallenkappel;SG;See-Gaster;Parz. 140;Abbruch alte Käserei, Schweinestall, Remise, Güllenlager und Silo;Baubewilligung erteilt;12.07.2024;Baugesuch eingereicht;21.02.2022;0.10 Mio CHF;;;;Industrie und Gewerbe;380;Betriebs- und Gewerbebauten;410;Schuppen und Hütten;420;Futterlagerräume, Treibhäuser und Silobauten;430;Stallungen und landwirtschaftliche Produktionsanlagen;;;;;;;;;;;;
3132731;Neubau Wohnung, Verarbeitung und Verkaufsladen;Betzikon 1;8735;St. Gallenkappel;SG;See-Gaster;Parz. 140;Neubau Wohnung, Verarbeitung und Verkaufsladen;Baubewilligung erteilt;12.07.2024;Baugesuch eingereicht;21.02.2022;1.00 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);116;Wohnungen;380;Betriebs- und Gewerbebauten;610;Ladenbauten;;;;;;;;;;;;;;
3133178;Abbruch Einfamilienhaus;Teufener Strasse 29;9042;Speicher;AR;Mittelland;Gst. 1257;Abbruch Einfamilienhaus mit Garage und Gartenhaus;Baubewilligung erteilt;13.02.2024;Baugesuch eingereicht;11.02.2022;0.05 Mio CHF;Herbst 2024;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;411;Gartenhäuser / Pavillons;1313;Garagen / Fertiggaragen;;;;;;;;;;;;;;
3133379;Wiederaufbau Alphaus (L-Zone);Erstböhlstrasse 15;9057;Weissbad;AI;Appenzell I.Rh.;Parz. 577;Wiederaufbau Alphaus (L-Zone)/ Alle Unternehmer bestimmt- Arbeiten sind vergeben.;Baubewilligung erteilt;09.01.2024;Baugesuch eingereicht;25.02.2022;0.57 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;430;Stallungen und landwirtschaftliche Produktionsanlagen;;;;;;;;;;;;;;;;
3134681;Umbau/Umnutzung Werkhof in Wertstoffsammelstelle;Chalchofen 4463;9100;Herisau;AR;Hinterland;Gst. 3967;Umbau/Umnutzung Werkhof in Wertstoffsammelstelle (Projektänderung);Baubewilligung erteilt;08.11.2023;Baugesuch eingereicht;03.03.2022;0.65 Mio CHF;;;;Verkehrsanlagen;3410;Inertstoffdeponien;3420;Reststoffdeponien;;;;;;;;;;;;;;;;
3148847;Neubau Wohnheim Wyden;Bodenstrasse 52;9436;Balgach;SG;Rheintal;GS 2340;Neubau Wohnheim Wyden;Baubewilligung erteilt;12.09.2024;Baugesuch eingereicht;01.12.2023;14.00 Mio CHF;;;;Fürsorge und Gesundheit;840;Pflegeheime, Sanatorien und Rehabilitationszentren;840;Pflegeheime, Sanatorien und Rehabilitationszentren;860;Tagesheime und geschützte Werkstätten;860;Tagesheime und geschützte Werkstätten;;;;;;;;;;;;
3149818;Neubau Weidestall und Jauchegrube;Mennweg;8873;Amden;SG;See-Gaster;Parz. 258;Neubau Weidestall und Jauchegrube (Unternehmer bestimmt/neue Eingabe);Baubewilligung erteilt;04.04.2024;Baugesuch eingereicht;02.08.2023;0.07 Mio CHF;;;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;480;Jauchegrube;;;;;;;;;;;;;;;;
3151676;Erweiterung eines Stalles und Jauchegrube;Mädris;8886;Mädris-Vermol;SG;Sarganserland;Parz. 3044;Erweiterung eines Stalles und Jauchegrube;Baubewilligung erteilt;11.12.2023;Baugesuch eingereicht;19.05.2022;0.80 Mio CHF;Frühling 2024;;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;480;Jauchegrube;;;;;;;;;;;;;;;;
3151813;Aufwertungsmassnahmen Naturschutzgebiet;Chegelwis;9248;Bichwil;SG;Wil;GS 751;Aufwertungsmassnahmen Naturschutzgebiet;Baubewilligung erteilt;31.01.2024;Baugesuch eingereicht;19.05.2022;0.10 Mio CHF;;;;Freizeit, Sport, Erholung;1270;Aussenanlagen, Kinderspielplätze und Parkanlagen;;;;;;;;;;;;;;;;;;
3154419;Neubau Gemüsezentrum mit Trafostation;Werkstrasse 16;9444;Diepoldsau;SG;Rheintal;Parz. 1568;Neubau Gemüsezentrum mit Trafostation;Baubewilligung erteilt;31.01.2023;Baugesuch eingereicht;31.05.2022;6.50 Mio CHF;Jun 23;Ende Jahr 2024;;Industrie und Gewerbe;380;Betriebs- und Gewerbebauten;6510;Hochspannungs-Trafostationen;;;;;;;;;;;;;;;;
3158458;Neubau Forensik-Station;Zürcherstrasse 30, Kreuzackerstrasse 1, 1a, 3;9500;Wil SG;SG;Wil;Parz. 29;Neubau Forensik-Station auf Klinikareal;Baubewilligung erteilt;17.09.2024;Baugesuch eingereicht;20.06.2022;20.00 Mio CHF;Sep 24;Sommer 2027;;Fürsorge und Gesundheit;730;Strafvollzugsanstalten;820;Krankenhäuser;840;Pflegeheime, Sanatorien und Rehabilitationszentren;;;;;;;;;;;;;;
3160258;Neubau Industriegebäude und Anbau Rampe;Bürefeld;9245;Oberbüren;SG;Wil;Parz. 1829, 1857;Neubau Industriegebäude und Anbau Rampe;Baubewilligung erteilt;18.04.2023;Baugesuch eingereicht;27.06.2022;4.00 Mio CHF;Apr 24;Sommer 2025;;Industrie und Gewerbe;370;Industrielle Produktionsbauten;370;Industrielle Produktionsbauten;;;;;;;;;;;;;;;;
3160581;Abbruch Wohnhaus mit Scheunenteil;Hüttenstrasse 11, Vorderer Hüttenberg;9108;Gonten;AI;Appenzell I.Rh.;Parz. 581;Abbruch Wohnhaus mit Scheunenteil (L-Zone);Baubewilligung erteilt;28.05.2024;Baugesuch eingereicht;29.06.2022;0.06 Mio CHF;20.05.2024;;;Wohnen (bis 2 Wohneinheiten);115;Bauernhäuser;430;Stallungen und landwirtschaftliche Produktionsanlagen;;;;;;;;;;;;;;;;
3163453;Neubau Umschlaghalle zu Erweiterung Recyclingcente;St. Gallerstrasse 149;7320;Sargans;SG;Sarganserland;Parz. 764;Neubau Umschlaghalle zu Erweiterung Recyclingcenter;Baubewilligung erteilt;21.11.2024;Baugesuch eingereicht;11.07.2022;0.20 Mio CHF;;;;Infrastrukturbauten;3420;Reststoffdeponien;;;;;;;;;;;;;;;;;;
3163913;Abbruch Berggasthaus Eggli;Egglistrasse 36;9050;Appenzell Steinegg;AI;Appenzell I.Rh.;Parz. 823;Abbruch Berggasthaus Eggli (L-Zone);Baubewilligung erteilt;28.05.2024;Baugesuch eingereicht;14.07.2022;0.10 Mio CHF;;;;Gastgewerbe und Fremdenverkehr;1110;Restaurationsbetriebe;;;;;;;;;;;;;;;;;;
3163914;Wiederaufbau Berggasthaus Eggli;Egglistrasse 36;9050;Appenzell Steinegg;AI;Appenzell I.Rh.;Parz. 823;Wiederaufbau Berggasthaus Eggli (L-Zone);Baubewilligung erteilt;31.05.2024;Baugesuch eingereicht;14.07.2022;5.50 Mio CHF;;;;Gastgewerbe und Fremdenverkehr;1110;Restaurationsbetriebe;;;;;;;;;;;;;;;;;;
3167784;Abbruch Einfamilienhaus;Unterschwendi 788;8873;Amden;SG;See-Gaster;Parz. 828;Abbruch Einfamilienhaus;Baubewilligung erteilt;04.04.2024;Baugesuch eingereicht;02.08.2022;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3169727;Umbau Aufenthaltsräume Solino Wohnlichkeit Plus;Kreuzrain 1;9606;Bütschwil;SG;Toggenburg;Parz. 1244;Umbau Aufenthaltsräume Solino Wohnlichkeit Plus (regionale Arbeitsvergabe, Arbeiten alle vergeben, keine Offertanfragen erwünscht);Baubewilligung erteilt;12.12.2022;Baugesuch eingereicht;12.08.2022;1.00 Mio CHF;Mär 25;Jun 25;;Wohnen (ab 3 Wohneinheiten);150;Alterswohnungen, Alterssiedlungen;;;;;;;;;;;;;;;;;;
3170216;Abbruch Zweifamilienhaus;Büelen;8718;Schänis;SG;See-Gaster;Parz. 205;Abbruch Zweifamilienhaus (L-Zone);Baubewilligung erteilt;06.06.2024;Baugesuch eingereicht;16.08.2022;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3172249;Neubau Gartenbaubetrieb;Lerchenfeld;9601;Lütisburg Station;SG;Toggenburg;GS 511B;Neubau Gartenbaubetrieb (Projektänderung)<br/>Projektänderung vom 25.10.2024: Neubau Werkhof für Gartenbaubetrieb. Frist vom 25.10.2024 bis 07.11.2024. jas, 29.10.2024.;Baubewilligung erteilt;01.11.2024;Baugesuch eingereicht;26.08.2022;5.00 Mio CHF;;;;Industrie und Gewerbe;310;Lagerhallen;380;Betriebs- und Gewerbebauten;;;;;;;;;;;;;;;;
3174139;Anbau Blockheizkraftwerk Holzschnitzel;Chrüzegg 1212;9630;Wattwil;SG;Toggenburg;Parz. 1837;Anbau Blockheizkraftwerk Holzschnitzel und Einstellraum für Pistenfahrzeug;Baubewilligung erteilt;11.10.2024;Baugesuch eingereicht;06.09.2022;0.20 Mio CHF;;;;Technische Anlagen;510;Heizzentralen, Fernwärmeanlagen und Kraftwerkbauten;;;;;;;;;;;;;;;;;;
3175146;Neubau Boxenlaufstall und Jauchegrube;Sagenwald 1469;8727;Walde SG;SG;See-Gaster;Parz. 609;Neubau Boxenlaufstall und Jauchegrube (Unternehmer bestimmt);Baubewilligung erteilt;16.03.2023;Baugesuch eingereicht;12.09.2022;1.00 Mio CHF;Okt 23;Jun 24;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;480;Jauchegrube;;;;;;;;;;;;;;;;
3175352;Abbruch 2 Mehrfamilienhäuser;Bahnhofstrasse 4a-c, Rickenstrasse 5;8722;Kaltbrunn;SG;See-Gaster;Parz. 735, 52;Abbruch 2 Mehrfamilienhäuser;Baubewilligung erteilt;01.02.2024;Baugesuch eingereicht;13.09.2022;0.10 Mio CHF;;;;Wohnen (ab 3 Wohneinheiten);120;Mehrfamilienhäuser;;;;;;;;;;;;;;;;;;
3178257;Abbruch Einfamilienhaus;Kesselhaldenstrasse 33;9016;St. Gallen;SG;St. Gallen;Parz.;Abbruch Einfamilienhaus (neue Eingabe);Baubewilligung erteilt;10.01.2024;Baugesuch eingereicht;09.03.2023;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3178259;Wiederaufbau Scheune/Remise;Ronwil;9205;Waldkirch;SG;St. Gallen;Parz. 285;Wiederaufbau Scheune/Remise (neue Eingabe) Unternehmer bestimmt.;Baubewilligung erteilt;12.04.2024;Baugesuch eingereicht;28.09.2022;0.18 Mio CHF;;;;Land- und Forstwirtschaft;410;Schuppen und Hütten;;;;;;;;;;;;;;;;;;
3179241;Abbruch Einfamilienhaus und Garagen;Lilienstrasse 16;9200;Gossau SG;SG;St. Gallen;Parz. 3254, 3253;Abbruch Einfamilienhaus und Garagen;Baubewilligung erteilt;04.03.2024;Baugesuch eingereicht;03.10.2022;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;1313;Garagen / Fertiggaragen;;;;;;;;;;;;;;;;
3179255;Neubau Ausstellungs- und Lagerhalle;Staatsstrasse 192;9463;Oberriet SG;SG;Rheintal;Parz. 4431;Neubau Ausstellungs- und Lagerhalle;Baubewilligung erteilt;15.02.2023;Baugesuch eingereicht;03.10.2022;1.10 Mio CHF;Anfang Januar 2024;Ende Jahr 2024;;Industrie und Gewerbe;310;Lagerhallen;380;Betriebs- und Gewerbebauten;;;;;;;;;;;;;;;;
3179572;Aufstockung Gewerbegebäude;Bildfeldstrasse 1a;9500;Wil SG;SG;Wil;Parz. 1950;Aufstockung Gewerbegebäude;Baubewilligung erteilt;17.11.2023;Baugesuch eingereicht;06.10.2022;1.50 Mio CHF;Jan 24;August/September 2024;;Handel und Verwaltung;640;Bürobauten mit erhöhten Anforderungen;;;;;;;;;;;;;;;;;;
3180673;Abbruch Doppeleinfamilienhaus;Vorderhof 38, 40;9033;Untereggen;SG;Rorschach;Parz. 16, 17;Abbruch Doppeleinfamilienhaus;Baubewilligung erteilt;26.03.2024;Baugesuch eingereicht;11.10.2022;0.04-0.05 Mio CHF;Sommer 2024;;;Wohnen (bis 2 Wohneinheiten);112;Doppel-Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3180929;Abbruch Einfamilienhaus;Guggenloch 77;9604;Lütisburg;SG;Toggenburg;Parz. 58;Abbruch Einfamilienhaus;Baubewilligung erteilt;30.10.2023;Baugesuch eingereicht;18.10.2022;0.03 Mio CHF;Feb 24;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3181420;Neubau Milchvieh-Laufstall und Jauchegrube;Tebeslehn;9308;Lömmenschwil;SG;St. Gallen;Parz. 310;Neubau Milchvieh-Laufstall und Jauchegrube;Baubewilligung erteilt;24.05.2024;Baugesuch eingereicht;14.10.2022;1.10 Mio CHF;;;;Land- und Forstwirtschaft;430;Stallungen und landwirtschaftliche Produktionsanlagen;480;Jauchegrube;;;;;;;;;;;;;;;;
