ObjektNr;Objektname;Baustelle;BaustPLZ;BaustOrt;BaustKanton;BaustBezirk;ReferenzNr;Kurzbeschreibung;Baustadium;BaustadiumDatum;BaustadiumAlt;BaustadiumDatumAlt;Baukosten;Baubeginn;Bauende;AnzWhg;Hauptkategorie;KatCode01;KatText01;KatCode02;KatText02;KatCode03;KatText03;KatCode04;KatText04;KatCode05;KatText05;KatCode06;KatText06;KatCode07;KatText07;KatCode08;KatText08;KatCode09;KatText09;KatCode10;KatText10
3270331;Abbruch von 3 Häusern;Schönberg 1;9404;Rorschacherberg;SG;Rorschach;Gst. 561;Abbruch von 3 Häusern;Baubewilligung erteilt;19.04.2024;Baugesuch eingereicht;17.01.2024;0.10 Mio CHF;;;;Wohnen (ab 3 Wohneinheiten);120;Mehrfamilienhäuser;;;;;;;;;;;;;;;;;;
3270461;Abbruch Einfamilienhaus;Lehrütistrasse 7;8882;Unterterzen;SG;Sarganserland;Gst. 688;Abbruch Einfamilienhaus;Baubewilligung erteilt;28.02.2024;Baugesuch eingereicht;18.01.2024;0.04 Mio CHF;Sommer 2024;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3270782;Erstellung Parkplätze;Industriestrasse;9443;Widnau;SG;Rheintal;Parz. 2978;Erstellung Parkplätze;Baubewilligung erteilt;26.02.2024;Baugesuch eingereicht;19.01.2024;0.20 Mio CHF;19.02.2024;;;Verkehrsanlagen;1311;Parkplätze;;;;;;;;;;;;;;;;;;
3270786;Abbruch Einfamilienhaus;Castellschenkenweg 8;9245;Oberbüren;SG;Wil;Gst. 176;Abbruch Einfamilienhaus;Baubewilligung erteilt;29.08.2024;Baugesuch eingereicht;19.01.2024;0.03 Mio CHF;;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3271620;Abbruch Einfamilienhaus;Tälistrasse 16;8730;Uznach;SG;See-Gaster;Parz. 473;Abbruch Einfamilienhaus;Baubewilligung erteilt;13.05.2024;Baugesuch eingereicht;22.01.2024;0.04 Mio CHF;Aug 24;;;Wohnen (bis 2 Wohneinheiten);111;Einfamilienhäuser;;;;;;;;;;;;;;;;;;
3271622;Dach- und Fassadensanierung von Lagerhallen;Rheinstrasse 38;9444;Diepoldsau;SG;Rheintal;Parz. 1632;Dach- und Fassadensanierung von Lagerhallen;Baubewilligung erteilt;08.05.2024;Baugesuch eingereicht;22.01.2024;1.50 Mio CHF;Sommer 2024;;;Industrie und Gewerbe;310;Lagerhallen;;;;;;;;;;;;;;;;;;
3271623;Neubau Betriebsgebäude;Werdenweg;9472;Grabs;SG;Werdenberg;Parz. 177;Neubau Betriebsgebäude;Baubewilligung erteilt;15.08.2024;Baugesuch eingereicht;22.01.2024;0.50-1.00 Mio CHF;;;;Industrie und Gewerbe;380;Betriebs- und Gewerbebauten;;;;;;;;;;;;;;;;;;
3271627;Leitungsersatz Ringschluss Buech;Uznacherstrasse;8645;Jona;SG;See-Gaster;Gst. 1804, 1805, 1783, 2256, 3519;Leitungsersatz Ringschluss Buech (L-Zone/Arbeiten werden auf Einladungsverfahren vergeben);Baubewilligung erteilt;23.07.2024;Baugesuch eingereicht;22.01.2024;0.20-0.25 Mio CHF;;;;Infrastrukturbauten;3230;Gas- und Wasserverteilleitungen;;;;;;;;;;;;;;;;;;
3271628;Neubau einer Lagerhalle;Dorfstrasse;9425;Thal;SG;Rorschach;Gst. 386;Neubau einer Lagerhalle;Baubewilligung erteilt;01.08.2024;Baugesuch eingereicht;22.01.2024;5.00-6.00 Mio CHF;;;;Industrie und Gewerbe;310;Lagerhallen;;;;;;;;;;;;;;;;;;
3271629;Abbruch bestehender Gebäude;Dorfstrasse;9425;Thal;SG;Rorschach;Gst. 386;Abbruch bestehendes Betriebsgebäude;Baubewilligung erteilt;30.05.2024;Baugesuch eingereicht;22.01.2024;0.06 Mio CHF;;;;Industrie und Gewerbe;380;Betriebs- und Gewerbebauten;;;;;;;;;;;;;;;;;;
