BFS-Nr.;Räumliche Ebene;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3251;Altstätten;51.024; 70.8 ; 77.2 ; 85.1 ; 47.8 ; 27.4 ; 37.9 ; 55.3 ; 31.9 ; 44.8 ; 77.2 ; 33.4 ; 55.4 ; 68.3 ; 90.1 ; 59.5 ; 38.8 ; 49.4 ; 43.9 ; 56.9 ; 55.8 ; 73.7 ; 54.2 ; 39.7 ; 44.6 ; 70.2 ; 60.5 ; 53.5 ; 72.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3231;Au (SG);50.958; 58.2 ; 24.8 ; 54.1 ; 55.5 ; 38.9 ; 39.4 ; 31.1 ; 34.2 ; 42.4 ; 47.8 ; 42.9 ; 42.6 ; 24.3 ; 31.4 ; 51.6 ; 36.8 ; 38.3 ; 19.6 ; 23.3 ; 24.8 ; 40.1 ; 32.8 ; 27.7 ; 31.4 ; 24.8 ; 29.2 ; 43.7 ; 30.5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3232;Balgach;27.265; 27.0 ; 30.7 ; 24.7 ; 27.0 ; 38.2 ; 44.0 ; 30.4 ; 24.2 ; 16.4 ; 20.9 ; 24.1 ; 27.9 ; 43.7 ; 34.6 ; 27.6 ; 29.2 ; 13.7 ; 22.3 ; 13.9 ; 39.6 ; 7.4 ; 4.3 ; 11.7 ; 3.9 ; 16.0 ; 14.6 ; 14.5 ; 18.4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3233;Berneck;9.403; 14.1 ; 14.4 ; 7.7 ; 6.6 ; 8.7 ; 7.3 ; 7.7 ; 22.7 ; 35.9 ; 15.2 ; 17.6 ; 20.0 ; 18.6 ; 26.9 ; 35.3 ; 25.4 ; 14.5 ; 16.1 ; 14.2 ; 13.6 ; 11.2 ; 8.3 ; 12.5 ; 13.4 ; 23.4 ; 16.1 ; 11.5 ; 14.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3234;Diepoldsau;11.578; 47.7 ; 61.9 ; 39.5 ; 36.6 ; 33.4 ; 41.7 ; 51.2 ; 27.8 ; 46.3 ; 45.7 ; 27.6 ; 20.2 ; 7.9 ; 9.7 ; 10.5 ; 13.3 ; 30.2 ; 29.4 ; 28.4 ; 17.5 ; 24.0 ; 19.2 ; 20.8 ; 32.8 ; 25.8 ; 24.7 ; 29.6 ; 34.2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3252;Eichberg;7.481; 3.3 ; 7.0 ; 3.4 ; 4.1 ; 6.5 ; 4.0 ; 3.1 ; 3.4 ; 5.9 ; 9.6 ; 11.6 ; 10.4 ; 11.1 ; 6.1 ; 9.6 ; 7.2 ; 6.1 ; 7.5 ; 4.2 ; 5.6 ; 3.1 ; 2.2 ; 0.9 ; 4.3 ; 5.8 ; 6.1 ; 9.1 ; 9.9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3253;Marbach (SG);11.096; 11.7 ; 4.4 ; 9.9 ; 8.7 ; 6.2 ; 5.4 ; 7.3 ; 5.0 ; 10.4 ; 27.4 ; 12.0 ; 10.3 ; 5.6 ; 4.0 ; 16.5 ; 10.9 ; 5.8 ; 9.0 ; 6.8 ; 5.9 ; 8.4 ; 9.5 ; 4.2 ; 3.0 ; 11.7 ; 6.3 ; 9.4 ; 7.5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3254;Oberriet (SG);46.635; 70.1 ; 60.1 ; 43.6 ; 42.2 ; 52.2 ; 48.8 ; 38.9 ; 40.5 ; 38.5 ; 31.6 ; 11.1 ; 57.4 ; 39.0 ; 60.9 ; 34.6 ; 47.2 ; 32.4 ; 28.7 ; 22.1 ; 27.8 ; 19.7 ; 23.1 ; 32.5 ; 29.5 ; 24.4 ; 26.0 ; 29.7 ; 47.9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3255;Rebstein;19.79; 17.8 ; 37.7 ; 30.7 ; 27.2 ; 26.6 ; 15.6 ; 8.8 ; 15.1 ; 16.3 ; 21.5 ; 21.0 ; 25.8 ; 16.7 ; 10.6 ; 6.5 ; 11.7 ; 9.0 ; 8.3 ; 11.2 ; 8.7 ; 7.3 ; 13.7 ; 16.5 ; 10.7 ; 11.1 ; 12.2 ; 14.8 ; 14.2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3235;Rheineck;9.362; 6.1 ; 8.9 ; 14.8 ; 4.9 ; 2.6 ; 10.2 ; 17.4 ; 20.1 ; 13.9 ; 11.4 ; 7.4 ; 9.9 ; 0.4 ; 3.5 ; 5.2 ; 3.4 ; 6.5 ; 9.6 ; 20.5 ; 6.5 ; 10.3 ; 10.7 ; 15.1 ; 17.7 ; 17.4 ; 19.9 ; 16.6 ; 15.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3256;Rüthi (SG);14.247; 10.9 ; 11.2 ; 21.1 ; 17.9 ; 26.2 ; 26.5 ; 22.1 ; 22.3 ; 19.0 ; 9.6 ; 14.3 ; 7.6 ; 16.8 ; 12.5 ; 6.4 ; 5.7 ; 6.5 ; 7.9 ; 17.6 ; 3.3 ; 4.3 ; 5.5 ; 7.2 ; 6.8 ; 8.0 ; 9.2 ; 9.5 ; 6.0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3236;St. Margrethen;34.629; 34.2 ; 40.5 ; 6.0 ; 9.9 ; 8.4 ; 6.1 ; 10.5 ; 25.2 ; 18.3 ; 6.1 ; 30.0 ; 26.6 ; 36.3 ; 43.2 ; 32.9 ; 23.7 ; 11.7 ; 10.7 ; 13.1 ; 8.4 ; 7.0 ; 11.0 ; 6.9 ; 12.2 ; 13.5 ; 37.2 ; 19.4 ; 25.8 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3238;Widnau;48.361; 46.1 ; 51.8 ; 46.7 ; 51.5 ; 43.7 ; 50.9 ; 65.3 ; 58.8 ; 47.1 ; 56.0 ; 32.3 ; 48.6 ; 42.9 ; 64.6 ; 67.1 ; 50.9 ; 65.7 ; 46.1 ; 32.0 ; 23.2 ; 31.2 ; 36.1 ; 19.4 ; 18.4 ; 22.7 ; 31.3 ; 46.9 ; 68.2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1724;Wahlkreis Werdenberg;227.478; 235.8 ; 219.1 ; 199.5 ; 185.3 ; 205.3 ; 209.3 ; 238.6 ; 248.5 ; 274.5 ; 238.0 ; 209.5 ; 189.9 ; 149.5 ; 201.8 ; 163.8 ; 142.4 ; 129.3 ; 130.0 ; 141.0 ; 131.5 ; 169.9 ; 152.1 ; 147.8 ; 148.5 ; 204.7 ; 191.1 ; 217.7 ; 313.7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3271;Buchs (SG);64.29; 67.2 ; 45.5 ; 46.1 ; 60.2 ; 59.3 ; 71.8 ; 101.1 ; 117.4 ; 100.4 ; 91.6 ; 66.1 ; 35.6 ; 39.0 ; 71.5 ; 37.2 ; 39.6 ; 34.1 ; 50.2 ; 38.8 ; 26.6 ; 44.7 ; 51.1 ; 43.1 ; 42.9 ; 68.2 ; 75.1 ; 72.7 ; 174.6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3272;Gams;13.033; 15.2 ; 14.4 ; 12.1 ; 19.2 ; 18.9 ; 23.6 ; 13.9 ; 18.6 ; 26.1 ; 31.6 ; 21.2 ; 19.5 ; 12.2 ; 16.7 ; 20.5 ; 7.7 ; 8.1 ; 9.2 ; 8.0 ; 11.9 ; 18.7 ; 10.4 ; 17.2 ; 14.9 ; 21.8 ; 10.3 ; 10.0 ; 8.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3273;Grabs;46.409; 49.6 ; 36.5 ; 30.0 ; 19.5 ; 34.4 ; 29.2 ; 37.7 ; 25.9 ; 22.8 ; 21.9 ; 27.2 ; 63.3 ; 22.5 ; 15.2 ; 35.4 ; 28.3 ; 32.5 ; 14.7 ; 30.3 ; 20.1 ; 16.4 ; 32.0 ; 20.5 ; 22.3 ; 26.4 ; 26.9 ; 54.5 ; 61.5 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3274;Sennwald;47.648; 48.9 ; 45.7 ; 50.8 ; 46.0 ; 46.0 ; 37.6 ; 38.4 ; 31.2 ; 47.8 ; 33.7 ; 43.2 ; 22.8 ; 31.3 ; 42.2 ; 26.3 ; 38.6 ; 15.0 ; 19.8 ; 28.1 ; 33.3 ; 51.2 ; 32.0 ; 44.7 ; 36.2 ; 35.4 ; 34.3 ; 42.1 ; 28.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3275;Sevelen;30.515; 23.2 ; 47.5 ; 38.0 ; 19.2 ; 31.3 ; 25.8 ; 23.5 ; 28.2 ; 48.5 ; 33.4 ; 22.1 ; 33.2 ; 29.1 ; 37.6 ; 19.6 ; 9.9 ; 20.1 ; 24.7 ; 19.0 ; 20.7 ; 16.8 ; 15.4 ; 13.2 ; 19.6 ; 28.7 ; 28.1 ; 21.9 ; 24.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3276;Wartau;25.583; 31.7 ; 29.4 ; 22.5 ; 21.1 ; 15.5 ; 21.4 ; 23.9 ; 27.2 ; 28.9 ; 25.8 ; 29.7 ; 15.6 ; 15.5 ; 18.5 ; 24.9 ; 18.1 ; 19.5 ; 11.4 ; 16.8 ; 18.8 ; 22.1 ; 11.1 ; 9.2 ; 12.6 ; 24.1 ; 16.3 ; 16.5 ; 17.0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1725;Wahlkreis Sarganserland;252.221; 245.5 ; 277.6 ; 290.1 ; 239.7 ; 220.4 ; 226.1 ; 223.1 ; 223.9 ; 193.7 ; 216.2 ; 293.8 ; 275.7 ; 308.0 ; 318.6 ; 223.2 ; 204.0 ; 245.1 ; 233.8 ; 168.4 ; 198.8 ; 189.9 ; 172.2 ; 144.0 ; 105.1 ; 135.1 ; 175.9 ; 248.5 ; 224.1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3291;Bad Ragaz;27.993; 26.0 ; 36.1 ; 57.6 ; 42.1 ; 43.8 ; 44.5 ; 45.0 ; 38.6 ; 33.0 ; 30.4 ; 23.2 ; 37.1 ; 59.9 ; 89.7 ; 45.8 ; 23.6 ; 21.1 ; 28.3 ; 35.7 ; 32.9 ; 16.6 ; 27.0 ; 20.9 ; 11.7 ; 9.5 ; 42.9 ; 66.5 ; 44.4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3292;Flums;47.333; 46.1 ; 55.3 ; 46.4 ; 30.8 ; 18.6 ; 31.9 ; 32.8 ; 31.4 ; 35.2 ; 26.9 ; 30.6 ; 36.0 ; 48.8 ; 20.7 ; 15.8 ; 19.4 ; 18.8 ; 23.6 ; 25.6 ; 10.6 ; 15.1 ; 16.5 ; 21.8 ; 14.2 ; 11.1 ; 12.2 ; 17.7 ; 10.9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3293;Mels;50.614; 80.0 ; 78.5 ; 80.2 ; 65.7 ; 45.6 ; 29.2 ; 24.8 ; 25.9 ; 28.5 ; 24.2 ; 54.2 ; 48.6 ; 31.1 ; 35.0 ; 34.4 ; 59.1 ; 67.0 ; 62.1 ; 37.6 ; 75.6 ; 74.4 ; 42.4 ; 22.0 ; 19.4 ; 49.3 ; 49.7 ; 60.0 ; 6.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3294;Pfäfers;10.886; 8.1 ; 6.1 ; 12.6 ; 10.4 ; 18.3 ; 11.1 ; 16.0 ; 28.9 ; 25.8 ; 5.7 ; 13.2 ; 17.7 ; 16.2 ; 20.1 ; 10.0 ; 5.2 ; 4.9 ; 10.9 ; 4.6 ; 7.5 ; 15.5 ; 15.2 ; 6.5 ; 8.5 ; 12.7 ; 8.6 ; 17.0 ; 12.0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3295;Quarten;16.59; 10.6 ; 16.2 ; 12.1 ; 17.6 ; 21.3 ; 11.7 ; 5.9 ; 7.3 ; 11.4 ; 32.1 ; 38.7 ; 20.4 ; 25.6 ; 48.8 ; 35.0 ; 11.3 ; 33.0 ; 13.1 ; 8.3 ; 10.5 ; 12.7 ; 11.3 ; 7.6 ; 11.8 ; 12.1 ; 14.4 ; 14.0 ; 39.0 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3296;Sargans;41.882; 32.5 ; 39.5 ; 30.5 ; 8.6 ; 15.3 ; 37.4 ; 25.5 ; 25.8 ; 20.5 ; 64.3 ; 95.5 ; 47.7 ; 41.3 ; 45.8 ; 45.1 ; 54.6 ; 38.0 ; 37.8 ; 24.3 ; 22.8 ; 21.2 ; 20.0 ; 20.2 ; 19.9 ; 9.7 ; 18.4 ; 30.5 ; 42.7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3297;Vilters-Wangs;36.915; 24.1 ; 18.6 ; 17.5 ; 20.6 ; 17.6 ; 24.5 ; 31.9 ; 30.9 ; 19.5 ; 17.2 ; 19.4 ; 28.5 ; 35.0 ; 20.8 ; 13.3 ; 8.0 ; 22.1 ; 24.6 ; 9.9 ; 17.7 ; 8.2 ; 10.8 ; 9.3 ; 0.6 ; 14.1 ; 14.9 ; 14.7 ; 29.6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3298;Walenstadt;20.008; 17.9 ; 27.3 ; 33.2 ; 43.8 ; 40.1 ; 35.7 ; 41.1 ; 35.1 ; 19.9 ; 15.4 ; 19.0 ; 39.8 ; 50.0 ; 37.7 ; 24.0 ; 22.8 ; 40.2 ; 33.4 ; 22.3 ; 21.3 ; 26.3 ; 28.9 ; 35.9 ; 19.1 ; 16.7 ; 14.8 ; 28.1 ; 39.2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
