Anlieferungsdatum,Gewicht in Tonnen
2019-05-08 00:00:00+00:00,582.88
2019-05-09 00:00:00+00:00,357.44
2019-05-10 00:00:00+00:00,178.14
2019-05-11 00:00:00+00:00,267.58
2019-05-12 00:00:00+00:00,357.02
2019-05-13 00:00:00+00:00,446.46
2019-05-14 00:00:00+00:00,242.22
2019-05-15 00:00:00+00:00,699.96
2019-05-16 00:00:00+00:00,176.78
2019-05-17 00:00:00+00:00,291.7
2019-05-18 00:00:00+00:00,255.58666666666667
2019-05-19 00:00:00+00:00,219.47333333333336
2019-05-20 00:00:00+00:00,183.36
2019-05-21 00:00:00+00:00,138.94
2019-05-22 00:00:00+00:00,119.42
2019-05-23 00:00:00+00:00,449.74
2019-05-24 00:00:00+00:00,456.86
2019-05-25 00:00:00+00:00,376.14666666666665
2019-05-26 00:00:00+00:00,295.43333333333334
2019-05-27 00:00:00+00:00,214.72
2019-05-28 00:00:00+00:00,893.26
2019-05-29 00:00:00+00:00,822.08
2019-05-30 00:00:00+00:00,857.456
2019-05-31 00:00:00+00:00,892.832
2019-06-01 00:00:00+00:00,928.2080000000001
2019-06-02 00:00:00+00:00,963.5840000000001
2019-06-03 00:00:00+00:00,998.96
2019-06-04 00:00:00+00:00,877.72
2019-06-05 00:00:00+00:00,562.3
2019-06-06 00:00:00+00:00,539.68
2019-06-07 00:00:00+00:00,668.3
2019-06-08 00:00:00+00:00,625.165
2019-06-09 00:00:00+00:00,582.03
2019-06-10 00:00:00+00:00,538.895
2019-06-11 00:00:00+00:00,495.76
2019-06-12 00:00:00+00:00,376.14
2019-06-13 00:00:00+00:00,821.24
2019-06-14 00:00:00+00:00,510.28
2019-06-15 00:00:00+00:00,503.4266666666667
2019-06-16 00:00:00+00:00,496.5733333333333
2019-06-17 00:00:00+00:00,489.72
2019-06-18 00:00:00+00:00,647.59
2019-06-19 00:00:00+00:00,467.0
2019-06-20 00:00:00+00:00,757.56
2019-06-21 00:00:00+00:00,510.15999999999997
2019-06-22 00:00:00+00:00,489.52
2019-06-23 00:00:00+00:00,468.88
2019-06-24 00:00:00+00:00,448.24
2019-06-25 00:00:00+00:00,502.82
2019-06-26 00:00:00+00:00,691.84
2019-06-27 00:00:00+00:00,294.72
2019-06-28 00:00:00+00:00,569.98
2019-06-29 00:00:00+00:00,547.6933333333334
2019-06-30 00:00:00+00:00,525.4066666666666
2019-07-01 00:00:00+00:00,503.12
2019-07-02 00:00:00+00:00,325.78000000000003
2019-07-03 00:00:00+00:00,633.76
2019-07-04 00:00:00+00:00,470.7
2019-07-05 00:00:00+00:00,349.78
2019-07-06 00:00:00+00:00,467.9466666666666
2019-07-07 00:00:00+00:00,586.1133333333332
2019-07-08 00:00:00+00:00,704.28
2019-07-09 00:00:00+00:00,314.24
2019-07-10 00:00:00+00:00,613.34
2019-07-11 00:00:00+00:00,819.0
2019-07-12 00:00:00+00:00,545.32
2019-07-13 00:00:00+00:00,527.0866666666667
2019-07-14 00:00:00+00:00,508.85333333333335
2019-07-15 00:00:00+00:00,490.62
2019-07-16 00:00:00+00:00,524.12
2019-07-17 00:00:00+00:00,998.22
2019-07-18 00:00:00+00:00,420.68
2019-07-19 00:00:00+00:00,175.36
2019-07-20 00:00:00+00:00,314.06
2019-07-21 00:00:00+00:00,452.76
2019-07-22 00:00:00+00:00,591.46
2019-07-23 00:00:00+00:00,243.1
2019-07-24 00:00:00+00:00,479.08
2019-07-25 00:00:00+00:00,429.56
2019-07-26 00:00:00+00:00,621.9399999999999
2019-07-27 00:00:00+00:00,520.3133333333333
2019-07-28 00:00:00+00:00,418.68666666666667
2019-07-29 00:00:00+00:00,317.06
2019-07-30 00:00:00+00:00,325.88
2019-07-31 00:00:00+00:00,483.9
2019-08-01 00:00:00+00:00,511.416
2019-08-02 00:00:00+00:00,538.932
2019-08-03 00:00:00+00:00,566.448
2019-08-04 00:00:00+00:00,593.964
2019-08-05 00:00:00+00:00,621.48
2019-08-06 00:00:00+00:00,1055.46
2019-08-07 00:00:00+00:00,565.34
2019-08-08 00:00:00+00:00,621.92
2019-08-09 00:00:00+00:00,387.58
2019-08-10 00:00:00+00:00,471.08000000000004
2019-08-11 00:00:00+00:00,554.58
2019-08-12 00:00:00+00:00,638.08
2019-08-13 00:00:00+00:00,1253.98
2019-08-14 00:00:00+00:00,760.72
2019-08-15 00:00:00+00:00,841.54
2019-08-16 00:00:00+00:00,724.58
2019-08-17 00:00:00+00:00,657.46
2019-08-18 00:00:00+00:00,590.34
2019-08-19 00:00:00+00:00,523.22
2019-08-20 00:00:00+00:00,371.2
