Anlieferungsdatum,Gesamtgewicht,Trend,Seasonal,Residual
2019-01-03 00:00:00+00:00,73.04,522.1178252042893,-745.7039392309119,296.6261140266227
2019-01-04 00:00:00+00:00,72.58,523.3948783658311,-699.4051680935515,248.5902897277204
2019-01-05 00:00:00+00:00,771.0266666666666,524.6719315273729,-623.351928158626,869.7066632979198
2019-01-06 00:00:00+00:00,1469.4733333333331,525.9489846889147,-500.77082216586206,1444.2951708102805
2019-01-07 00:00:00+00:00,2167.92,527.2260378504565,-327.38760962819697,1968.0815717777405
2019-01-08 00:00:00+00:00,2795.52,528.5030910119983,-207.987301200121,2475.0042101881227
2019-01-09 00:00:00+00:00,2761.32,529.7801441735401,-185.86966552699172,2417.409521353452
2019-01-10 00:00:00+00:00,1214.5,531.0571973350819,2.3575196134130856,681.085283051505
2019-01-11 00:00:00+00:00,2893.38,532.3342504966237,323.2211674631025,2037.824582040274
2019-01-12 00:00:00+00:00,2957.0133333333333,533.6113036581655,569.5642605182712,1853.8377691568967
2019-01-13 00:00:00+00:00,3020.646666666667,534.8883568197073,220.98950273630166,2264.7688071106577
2019-01-14 00:00:00+00:00,3084.28,536.1654099812491,383.70733171232285,2164.4072583064285
2019-01-15 00:00:00+00:00,3259.66,537.4424631427909,297.0109217233516,2425.206615133857
2019-01-16 00:00:00+00:00,2670.04,538.7195163043327,336.3353488728889,1794.9851348227785
2019-01-17 00:00:00+00:00,2476.0,539.9965694658745,573.4293011365813,1362.5741293975443
2019-01-18 00:00:00+00:00,1358.24,541.2736226274163,112.90250606389625,704.0638713086875
2019-01-19 00:00:00+00:00,1387.7866666666666,542.5506757889581,262.13084645544257,583.105144422266
2019-01-20 00:00:00+00:00,1417.3333333333333,543.8277289504999,401.23673707529946,472.26886730753387
2019-01-21 00:00:00+00:00,1446.8799999999999,545.1047821120417,364.02241612742415,537.7528017605341
2019-01-22 00:00:00+00:00,1813.26,546.3818352735835,564.3178387107512,702.5603260156652
2019-01-23 00:00:00+00:00,828.9399999999999,547.6588884351253,286.137215631978,-4.856104067103331
2019-01-24 00:00:00+00:00,237.48,548.9359415966671,2.6357371498561584,-314.09167874652326
2019-01-25 00:00:00+00:00,283.86,550.2129947582089,-134.46425579193084,-131.88873896627803
2019-01-26 00:00:00+00:00,333.84000000000003,551.4900479197507,-194.36104934254587,-23.288998577204836
2019-01-27 00:00:00+00:00,383.82,552.7671010812925,-2.7385217363876286,-166.20857934490485
2019-01-28 00:00:00+00:00,433.8,554.0441542428343,-121.5180337040499,1.2738794612155715
2019-01-29 00:00:00+00:00,199.4,555.3212074043761,-374.6686890507074,18.747481646331323
2019-01-30 00:00:00+00:00,277.82,556.5982605659179,-107.10013770025698,-171.67812286566095
2019-01-31 00:00:00+00:00,275.14,557.8753137274597,407.75802947972153,-690.4933432071812
2019-02-01 00:00:00+00:00,140.64,559.1523668890015,175.46803471145049,-593.9804016004521
2019-02-02 00:00:00+00:00,900.0066666666665,560.4294200505433,-232.13901089395893,571.7162575100822
2019-02-03 00:00:00+00:00,1659.373333333333,561.7064732120851,-253.2595073365072,1350.9263674577548
2019-02-04 00:00:00+00:00,2418.74,562.9835263736269,87.53858495762684,1768.2178886687461
2019-02-05 00:00:00+00:00,3702.86,564.2605795351687,472.26043067641825,2666.338989788413
2019-02-06 00:00:00+00:00,3149.04,565.5376326967105,684.1662885717695,1899.3360787315196
2019-02-07 00:00:00+00:00,3162.08,566.8146858582523,621.3391266802108,1973.9261874615368
2019-02-08 00:00:00+00:00,2190.66,568.0917390197941,471.36406220113327,1151.2041987790724
2019-02-09 00:00:00+00:00,2193.4266666666667,569.368792181336,144.3807267935928,1479.677147691738
2019-02-10 00:00:00+00:00,2196.193333333333,570.6458453428777,136.7892300466308,1488.7582579438247
2019-02-11 00:00:00+00:00,2198.96,571.9228985044195,-109.40526822240132,1736.4423697179816
2019-02-12 00:00:00+00:00,2074.68,573.1999516659613,-141.8015199160909,1643.2815682501296
2019-02-13 00:00:00+00:00,1165.7,574.4770048275032,-82.94265745452938,674.1656526270262
2019-02-14 00:00:00+00:00,347.12,575.7540579890449,-162.033210518082,-66.60084747096289
2019-02-15 00:00:00+00:00,398.26,577.0311111505868,182.2336184579393,-361.0047296085261
2019-02-16 00:00:00+00:00,425.99333333333334,578.3081643121285,-18.45104419465444,-133.86378678414073
2019-02-17 00:00:00+00:00,453.72666666666663,579.5852174736704,-16.242166512392714,-109.61638429461101
2019-02-18 00:00:00+00:00,481.46,580.8622706352121,4.103913605180981,-103.5061842403931
2019-02-19 00:00:00+00:00,502.62,582.139323796754,67.65479128744268,-147.17411508419661
2019-02-20 00:00:00+00:00,323.3,583.4163769582957,-16.361271669564964,-243.75510528873073
2019-02-21 00:00:00+00:00,893.64,584.6934301198376,-79.88159946675535,388.8281693469178
2019-02-22 00:00:00+00:00,243.56,585.9704832813793,205.48066634336024,-547.8911496247396
2019-02-23 00:00:00+00:00,246.36,587.2475364429212,-139.7873753046672,-201.10016113825395
2019-02-24 00:00:00+00:00,249.16,588.5245896044629,-11.340120149041732,-328.0244694554212
2019-02-25 00:00:00+00:00,251.96,589.8016427660048,-24.175875647906498,-313.66576711809824
2019-02-26 00:00:00+00:00,420.24,591.0786959275465,-229.70503145118505,58.866335523638554
2019-02-27 00:00:00+00:00,296.2,592.3557490890884,-182.41312180545313,-113.74262728363524
2019-02-28 00:00:00+00:00,186.82,593.6328022506301,-214.8192821749417,-191.99352007568842
2019-03-01 00:00:00+00:00,1102.34,594.909855412172,-27.42167085493268,534.8518154427607
